Diciembre,7505,andres.forero.co,210,03/01/2022,"10,8", $3.964, $42.811
Diciembre,7897,expone.co,280,03/01/2022,"10,8", $3.981, $42.995
Diciembre,8049,eduklab.co,298,02/01/2022,"10,8", $3.981, $42.995
Diciembre,7103,fincarsas.com,282,03/01/2022,"16,2", $3.981, $64.492
Diciembre,5662,Hicome.co,146,03/01/2022,"126,56", $4.084, $516.871
Diciembre,7735,joseluiscorrea.co,293,03/01/2022,"10,8", $3.981, $42.995
Diciembre,8006,keepsalud.co,210,03/01/2022,"10,8", $3.981, $42.995
Diciembre,6257,Linktic.co,Se carga en varios CC,05/01/2022,"890,43", $4.084, $3.636.516
Diciembre,6840,mafecarrascal.com,210,03/01/2022,"10,8", $3.981, $42.995
Diciembre,7505,miguelgutierrez.com.co,210,03/01/2022,"10,8", $3.964, $42.811
Diciembre,7505,nataliabedoya.com.co,210,03/01/2022,"10,8", $3.964, $42.811
Diciembre,5562,tictur.org,258,03/01/2022,"10,8", $3.981, $42.995
Diciembre,7021,tuvitrina.co,278,03/01/2022,"5,4", $3.981, $21.497
Diciembre,6790,vendeporinternet.co,280,03/01/2022,672, $4.084, $2.744.448
Diciembre,6011,wimbu.co,001,05/01/2022,"150,16", $3.948, $592.832
Diciembre,6092,yaktil.com,263,03/01/2022,18, $3.948, $71.064
enero,7838,3tcapital.co,210,02/02/2022,"35,89", $3.927, $140.940
enero,7505,andres.forero.co,210,02/02/2022,"10,8", $3.927, $42.412
enero,7897,expone.co,280,02/02/2022,"5,4", $3.927, $21.206
enero,8049,eduklab.co,298,04/02/2022,"12,34", $3.958, $48.842
enero,7103,fincarsas.com,282,03/02/2022,"16,2", $3.928, $63.634
enero,5662,Hicome.co,146,02/02/2022,"136,62", $3.927, $536.507
enero,7735,joseluiscorrea.co,293,02/02/2022,"10,8", $3.927, $42.412
enero,8006,keepsalud.co,210,02/02/2022,"10,8", $3.927, $42.412
enero,6257,Linktic.co,Se carga en varios CC,02/02/2022,"870,3", $3.927, $3.417.668
enero,6840,mafecarrascal.com,210,02/02/2022,"10,8", $3.927, $42.412
enero,7505,miguelgutierrez.com.co,210,02/02/2022,"10,8", $3.927, $42.412
enero,7505,nataliabedoya.com.co,210,02/02/2022,"10,8", $3.927, $42.412
enero,5562,tictur.org,258,04/02/2022,"25,47", $3.958, $100.810
